sno,district,mandal,village,temp_id,long_gis,lat_gis,gwl,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,1001,78.5247,19.6683,16.45,premonsoon 2018,8.21,1407,900.48,0,240,190,0.34,94.3377,129,95,5,48,111.826,579.8108553,1.715349413,C3S1,-6.796217105,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,1002,78.350833,19.458888,38.6,premonsoon 2018,8.29,1620,1036.8,0,360,150,0.34,173.1739,115,105,19,104,87.516,619.8519737,1.833654332,C3S1,-5.197039474,P.S.
3,ADILABAD,Gudihatnoor,Gudihatnoor,1007,78.512222,19.525555,,premonsoon 2018,8.34,959,613.76,50,260,70,0.62,41.23399,56,55,2,56,72.93,439.8766447,1.140169454,C3S1,-2.597532895,P.S.
4,ADILABAD,Jainath,Jainath,1009,78.64,19.730555,6.2,premonsoon 2018,8.22,509,325.76,0,230,30,0.91,19.26615,30,63,2,40,19.448,179.9671053,2.041813862,C2S1,1.000657895,P.S.
5,ADILABAD,Narnoor,Narnoor,1010,78.852654,19.495665,6.15,premonsoon 2018,8.29,550,352,0,220,20,1.23,32.42028,25,49,7,32,24.31,179.9588816,1.588113733,C2S1,0.800822368,P.S.
6,ADILABAD,Neradigonda,Neradigonda,1011,78.41216,19.29375,48.2,premonsoon 2018,8.19,1041,666.24,0,310,140,0.46,42.9613,47,79,20,72,63.206,439.8930921,1.637667326,C3S1,-2.597861842,P.S.
7,ADILABAD,Talamadugu,Talamadugu,1013,78.3969,19.6334,6.65,premonsoon 2018,8.33,1970,1260.8,60,310,250,0.83,131.0984,152,145,165,80,58.344,439.9013158,3.005816996,C3S1,-1.398026316,P.S.
8,ADILABAD,Tamsi,Tamsi,1014,78.4268,19.6811,6.3,premonsoon 2018,8.32,800,512,40,210,40,1.51,42.91701,64,59,25,32,38.896,239.9342105,1.656067705,C3S1,0.201315789,P.S.
9,ADILABAD,Utnoor,Utnoor,1015,78.7685,19.3789,8.2,premonsoon 2018,8.31,459,293.76,40,120,30,1.15,1.3287,27,26,8,32,19.448,159.9671053,0.893779047,C2S1,0.000657895,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,1021,80.826104,17.354519,16.25,premonsoon 2018,8.33,280,179.2,20,54.83373419,20,0.08,37.6465,5,17.09862461,3.32,24,9.724,99.98355263,0.743479605,C2S1,-0.502996369,P.S.
11,BHADRADRI,Ashwapuram,Aswapuram,1022,80.809241,17.841678,10.26,premonsoon 2018,8.05,1871,1197.44,0,242.1915011,360,0.46,168.302,39,148.3988766,1.9,72,106.964,619.8190789,2.591613939,C3S1,-7.552551557,P.S.
12,BHADRADRI,Bhadrachalam,Bhadrachalam,1024,80.900922,17.666775,13.56,premonsoon 2018,8.34,1167,746.88,40,303.5035203,140,0.77,5.53625,31,79.42941347,13.12,48,68.068,399.8848684,1.726974934,C3S1,-1.127626963,P.S.
13,BHADRADRI,Burgampad,M.Banjara,1025,80.7911,17.6447,14.9,premonsoon 2018,7.99,2030,1299.2,0,422.8365643,280,1.52,172.731,46,254.519029,9.4,16,102.102,459.8273026,5.160538763,C3S2,-0.739814766,P.S.
14,BHADRADRI,Chandrugonda,Ravikampadu,1026,80.6106,17.3986,18.75,premonsoon 2018,8.09,2810,1798.4,0,408.523876,330,0.54,608.9875,25,202.2080174,15.5,40,209.066,959.6463816,2.838016526,C4S1,-11.02245011,P.S.
16,BHADRADRI,Gundala,Kanchanapalli,3016,80.42,17.79,,premonsoon 2018,8.22,895,572.8,0,178.2508078,70,0.51,190.447,12,20.4522113,68.5,48,48.62,319.9177632,0.497156655,C3S1,-2.833339108,P.S.
