sno,district,mandal,village,temp_id,long_gis,lat_gis,RL_GIS,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,1001,78.52,19.67,253,premonsoon 2022,8.27,1477,945,0,340,200,0.43,48.7,43,135,9,72,58.34,420,2.86,C3S1,-1.60,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,1002,78.35,19.46,435,premonsoon 2022,8.30,513,328,30,150,50,0.29,0.4,18,42,2,32,24.31,180,1.36,C2S1,0.00,P.S.
3,ADILABAD,Bela,Chandpally,1003,78.85,19.68,247,premonsoon 2022,8.22,962,616,0,250,110,0.74,86.8,32,89,5,56,43.76,320,2.16,C3S1,-1.40,P.S.
4,ADILABAD,Bheempur,Arli,1004,78.38,19.83,224,premonsoon 2022,8.23,1084,694,0,210,140,1.06,99.2,34,96,6,56,43.76,320,2.33,C3S1,-2.20,P.S.
5,ADILABAD,Bheempur,Bheempur,1005,78.42,19.77,245,premonsoon 2022,8.31,1067,683,30,170,120,0.63,187.8,32,92,6,64,48.62,360,2.11,C3S1,-3.20,P.S.
6,ADILABAD,Boath,Boath,1006,78.32,19.34,432,premonsoon 2022,8.18,1434,918,0,310,190,0.45,97.8,44,134,8,72,58.34,420,2.84,C3S1,-2.20,P.S.
7,ADILABAD,Gudihatnoor,Gudihatnoor,1007,78.51,19.53,434,premonsoon 2022,8.26,1456,932,0,330,200,0.62,49.1,46,133,8,72,58.34,420,2.82,C3S1,-1.80,P.S.
8,ADILABAD,Jainath,Bhoraj,1008,78.55,19.74,231,premonsoon 2022,8.02,778,498,0,210,80,0.56,0.4,27,70,4,32,29.17,200,2.15,C3S1,0.20,P.S.
9,ADILABAD,Jainath,Jainath,1009,78.64,19.73,219,premonsoon 2022,7.96,528,338,0,150,50,0.44,15.3,20,44,2,24,24.31,160,1.51,C2S1,-0.20,P.S.
10,ADILABAD,Narnoor,Narnoor,1010,78.85,19.50,472,premonsoon 2022,8.29,754,483,0,210,80,0.94,27.8,30,64,4,40,34.03,240,1.80,C3S1,-0.60,P.S.
11,ADILABAD,Neradigonda,Neradigonda,1011,78.41,19.29,425,premonsoon 2022,7.91,886,567,0,230,100,0.38,55.8,30,78,5,48,38.90,280,2.03,C3S1,-1.00,P.S.
12,ADILABAD,Talamadugu,Devapur,1012,78.46,19.61,284,premonsoon 2022,8.17,1253,802,0,240,160,0.08,117.6,38,113,7,56,53.48,360,2.59,C3S1,-2.40,P.S.
13,ADILABAD,Talamadugu,Talamadugu,1013,78.40,19.63,291,premonsoon 2022,8.21,1780,1139,0,340,230,0.96,164.5,53,168,10,80,72.93,500,3.27,C3S1,-3.20,P.S.
14,ADILABAD,Tamsi,Tamsi,1014,78.43,19.68,272,premonsoon 2022,7.94,929,595,0,210,110,1.26,133.9,31,88,5,56,43.76,320,2.14,C3S1,-2.20,P.S.
15,ADILABAD,Utnoor,Utnoor,1015,78.77,19.38,382,premonsoon 2022,8.27,591,378,0,190,60,0.68,0.2,23,47,2,32,29.17,200,1.45,C2S1,-0.20,P.S.
16,BHADRADRI,Allapalli,Allapalli,1020,80.48,17.83,113,premonsoon 2022,7.41,968,620,0,120,90,0.22,90.5,151,75,15,72,29,300,1.88,C3S1,-3.60,P.S.
17,BHADRADRI,Allapalli,Markodu,3001,80.51,17.91,,premonsoon 2022,8.04,983,629,0,330,70,1.27,17.8,66,72,4,64,49,360,1.64,C3S1,-0.60,P.S.
18,BHADRADRI,Annapureddypalli,Annapureddypalli,1021,80.83,17.35,225,premonsoon 2022,7.48,582,372,0,90,50,0.24,74.8,75,23,19,56,19,220,0.69,C2S1,-2.60,P.S.
19,BHADRADRI,Ashwapuram,Ammagaripalli,3002,80.85,17.87,,premonsoon 2022,7.77,1942,1243,0,270,430,0.39,1.0,87,111,4,160,73,700,1.83,C3S1,-8.60,P.S.
20,BHADRADRI,Ashwapuram,Aswapuram,1022,80.81,17.84,15,premonsoon 2022,7.17,2477,1585,0,470,430,1.16,78.4,119,165,6,144,126,880,2.41,C4S1,-8.20,P.S.
21,BHADRADRI,Ashwapuram,Aswapuram,3003,80.81,17.87,,premonsoon 2022,7.93,2286,1463,0,260,440,1.47,86.0,197,202,11,152,83,720,3.27,C4S1,-9.20,P.S.
22,BHADRADRI,Ashwapuram,ASWARAOPET (D),3004,81.11,17.24,,premonsoon 2022,6.77,173,111,0,30,30,0.02,35.9,4,11,2,24,5,80,0.53,C1S1,-1.00,P.S.
23,BHADRADRI,Aswaraopet (S),Aswaraopet (S),1023,81.11,17.24,192,premonsoon 2022,6.73,173,111,0,30,30,0.02,35.3,4,11,2,24,5,80,0.53,C1S1,-1.00,P.S.
24,BHADRADRI,Aswaraopeta,Duradapadu,3005,81.09,17.43,,premonsoon 2022,7.89,1026,657,0,320,90,1.45,14.9,81,59,7,56,63,400,1.28,C3S1,-1.60,P.S.
25,BHADRADRI,Aswaraopeta,Gummadivalli,3006,81.18,17.42,,premonsoon 2022,8.21,1098,703,0,340,120,3.63,7.5,51,181,5.2,24,29,180,5.88,C3S1,3.20,U.S.
26,BHADRADRI,Aswaraopeta,NANDIPADU,3007,81.13,17.46,,premonsoon 2022,8.15,1265,810,0,190,130,0.94,138.5,147,57,17,88,68,500,1.11,C3S1,-6.20,P.S.
27,BHADRADRI,Aswaraopeta,Vinayakapuram,3008,81.12,17.35,,premonsoon 2022,8.06,544,348,0,150,40,0.38,42.9,21,10,81,40,10,140,0.37,C2S1,0.20,P.S.
28,BHADRADRI,Bhadrachalam,Bhadrachalam,1024,80.90,17.67,5,premonsoon 2022,7.89,1749,1119,0,610,100,1.78,7.2,95,226,1,48,63,380,5.04,C3S1,4.60,U.S.
29,BHADRADRI,Burgampad,Krishnasagar,3009,80.81,17.71,,premonsoon 2022,8.26,543,348,0,190,40,0.69,3.3,26,72,3,16,19,120,2.86,C2S1,1.40,MR
30,BHADRADRI,Burgampad,M.Banjara,1025,80.79,17.64,7,premonsoon 2022,7.07,1976,1265,0,540,200,0.68,24.2,176,188,6,64,107,600,3.34,C3S1,-1.20,P.S.
31,BHADRADRI,Chandrugonda,Cherla,1027,80.83,18.07,64,premonsoon 2022,7.94,2212,1416,0,440,350,1.06,44.7,157,380,0.4,32,58,320,9.23,C3S2,2.40,MR
32,BHADRADRI,Chandrugonda,Maddukuru,3010,80.68,17.36,,premonsoon 2022,8.24,404,259,0,130,40,0.62,19.8,14,27,3,40,15,160,0.93,C2S1,-0.60,P.S.
33,BHADRADRI,Chandrugonda,Ravikampadu,1026,80.61,17.40,57,premonsoon 2022,7.76,2064,1321,0,620,320,0.69,39.7,115,182,9,16,199,860,2.70,C3S1,-4.79,P.S.
34,BHADRADRI,Cherla,Chinmedisileru,3011,80.85,18.06,,premonsoon 2022,7.94,171,109,0,40,20,0.56,0.5,19,12,4,16,5,60,0.67,C1S1,-0.40,P.S.
35,BHADRADRI,Chunchupalli,Chunchupalli,1028,80.61,17.53,24,premonsoon 2022,7.79,1481,948,0,240,190,0.62,171.8,109,148,3,48,78,440,3.07,C3S1,-4.00,P.S.
36,BHADRADRI,Dammapeta,Malkaram,1029,81.07,17.31,169,premonsoon 2022,6.61,128,82,0,10,20,0.03,22.8,4,10,0.10,8,5,40,0.69,C1S1,-0.60,P.S.
37,BHADRADRI,Dammapeta,Mandalapalli,3012,81.01,17.24,,premonsoon 2022,8.21,409,262,0,100,70,0.30,30.0,15,25,3,24,29,180,0.81,C2S1,-1.60,P.S.
38,BHADRADRI,Dammapeta,Patwarigudem,3013,80.96,17.35,,premonsoon 2022,8.18,368,236,0,110,30,0.47,2.1,31,29,5,32,10,120,1.15,C2S1,-0.20,P.S.
39,BHADRADRI,Dummugudem,Bandirevu,3014,80.92,17.92,,premonsoon 2022,7.99,1555,995,0,240,340,0.79,7.1,41,119,2,72,83,520,2.26,C3S1,-5.60,P.S.
40,BHADRADRI,Dummugudem,Dummugudem,1030,80.89,17.85,7,premonsoon 2022,7.55,824,527,0,400,40,1.09,18.1,72,97,1,56,49,340,2.29,C3S1,1.20,P.S.
41,BHADRADRI,Gundala,Gundala,3015,80.33,17.91,,premonsoon 2022,8.25,430,275,0,200,10,0.54,4.2,18,15,3,72,5,200,0.46,C2S1,0.00,P.S.
42,BHADRADRI,Gundala,Kanchanapalli,3016,80.42,17.79,,premonsoon 2022,8.26,766,490,0,150,90,0.29,57.9,66,21,73.7,88,10,260,0.57,C3S1,-2.20,P.S.
43,BHADRADRI,Gundala,Mamakannu,1031,80.41,17.87,114,premonsoon 2022,7.54,756,484,0,220,40,0.54,23.6,94,48,18,64,24,260,1.30,C3S1,-0.80,P.S.
44,BHADRADRI,Gundala,Sainapalli,3017,80.35,17.96,,premonsoon 2022,7.97,872,558,0,210,80,0.47,57.3,51,30,20,88,29,340,0.70,C3S1,-2.60,P.S.
45,BHADRADRI,Gundala,Settupalli,3018,80.35,17.81,,premonsoon 2022,7.55,202,129,0,40,30,0.27,1.1,24,13,1,24,5,80,0.63,C1S1,-0.80,P.S.
46,BHADRADRI,Julurpadu,P. Narsapuram,3019,80.52,17.44,,premonsoon 2022,8.25,4624,2959,0,830,840,1.18,58.2,210,750,2,72,146,780,11.68,C4S3,1.00,P.S.
47,BHADRADRI,Julurpadu,Papakollu,1032,80.48,17.42,73,premonsoon 2022,7.59,1412,904,0,330,190,0.44,105.4,118,62,10,64,117,640,1.07,C3S1,-6.20,P.S.
48,BHADRADRI,Kalvala nagaram*,karakagudem,3020,80.51,18.09,,premonsoon 2022,7.69,950,608,0,380,20,1.34,2.6,75,179,1,24,10,100,7.78,C3S1,5.60,U.S.
49,BHADRADRI,Karakagudem,Karakagudem,1033,80.57,18.03,112,premonsoon 2022,7.18,877,561,0,230,80,1.17,0.9,89,49,24,56,39,300,1.23,C3S1,-1.40,P.S.
50,BHADRADRI,Kothagudem,Kothagudem,1034,80.62,17.55,136,premonsoon 2022,7.71,1112,712,0,260,130,0.81,38.5,70,104,3,56,44,320,2.54,C3S1,-1.20,P.S.
51,BHADRADRI,Laxmidevipalli,Bangaruchelka,3021,80.60,17.76,,premonsoon 2022,8.21,698,447,0,270,30,0.97,3.1,43,41,7,32,44,260,1.09,C2S1,0.20,P.S.
52,BHADRADRI,Laxmidevipalli,Laxmidevipalli,1035,80.62,17.57,31,premonsoon 2022,7.58,1062,680,0,130,90,0.36,156.0,161,77,16,96,29,360,1.77,C3S1,-4.60,P.S.
53,BHADRADRI,Manuguru,Manuguru,1036,80.83,17.96,6,premonsoon 2022,7.34,1664,1065,0,370,190,0.65,8.1,187,186,1,88,53,440,3.85,C3S1,-1.40,P.S.
