sno,district,mandal,village,temp_id,long_gis,lat_gis,gwl,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,1001,78.5247,19.6683,13.82,pre monsoon 2019,8.28,831,531.84,0,200,90,0.96,32.21090909,94,95,6,48,29.172,239.9506579,2.666458303,C3S1,-0.799013158,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,1002,78.350833,19.458888,36.23,pre monsoon 2019,8.3,1688,1080.32,20,200,260,1.9,35.23068182,233,217,10,72,48.62,379.9177632,4.840465154,C3S1,-3.198355263,P.S.
3,ADILABAD,Gudihatnoor,Gudihatnoor,1007,78.512222,19.525555,,pre monsoon 2019,8.3,733,469.12,20,180,70,0.88,31.003,73,80,7,40,29.172,219.9506579,2.34530602,C2S1,-0.399013158,P.S.
4,ADILABAD,Jainath,Jainath,1009,78.64,19.730555,7.27,pre monsoon 2019,8.22,1015,649.6,0,180,150,0.17,45.29659091,110,118,6,48,38.896,279.9342105,3.066381479,C3S1,-1.998684211,P.S.
5,ADILABAD,Narnoor,Narnoor,1010,78.852654,19.495665,5.52,pre monsoon 2019,8.31,526,336.64,30,160,40,0.66,26.574,34,56,3,32,24.31,179.9588816,1.814987124,C2S1,0.200822368,P.S.
6,ADILABAD,Neradigonda,Neradigonda,1011,78.41216,19.29375,48,pre monsoon 2019,8.07,1494,956.16,0,290,210,0.46,37.6465,154,159,11,72,58.344,419.9013158,3.373616177,C3S1,-2.598026316,P.S.
7,ADILABAD,Talamadugu,Talamadugu,1013,78.3969,19.6334,6.32,pre monsoon 2019,8.18,632,404.48,0,220,50,0.61,31.003,42,72,4,32,29.172,199.9506579,2.213824767,C2S1,0.400986842,P.S.
8,ADILABAD,Tamsi,Tamsi,1014,78.4268,19.6811,6.25,pre monsoon 2019,8.21,1409,901.76,0,280,200,0.42,35.83463636,154,157,10,72,53.482,399.9095395,3.413429476,C3S1,-2.398190789,P.S.
9,ADILABAD,Utnoor,Utnoor,1015,78.7685,19.3789,5.65,pre monsoon 2019,8.23,1568,1003.52,0,220,270,0.27,42.88077273,160,168,15,72,58.344,419.9013158,3.564575583,C3S1,-3.998026316,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,1021,80.826104,17.354519,17.65,pre monsoon 2019,8.7,204,130.56,20,40.7188909,10,0.05,28.56705,3,9.416512307,2,24,4.862,79.99177632,0.457761825,C1S1,-0.385457708,P.S.
11,BHADRADRI,Ashwapuram,Aswapuram,1022,80.809241,17.841678,9.35,pre monsoon 2019,7.97,1720,1100.8,0,227.6750786,390,0.32,39.861,40,113.2476215,2,104,87.516,619.8519737,1.977685636,C3S1,-7.843537902,P.S.
12,BHADRADRI,Bhadrachalam,Bhadrachalam,1024,80.900922,17.666775,11.55,pre monsoon 2019,8.77,992,634.88,60,103.9848675,130,0.45,155.015,18,62.51892198,4,80,38.896,359.9342105,1.432755491,C3S1,-3.918986861,P.S.
13,BHADRADRI,Burgampad,M.Banjara,1025,80.7911,17.6447,13.45,pre monsoon 2019,8.96,1474,943.36,80,287.56258,200,1.09,55.3625,34,207.1850065,11,16,58.344,279.9013158,5.384284721,C3S1,1.753225284,MR
14,BHADRADRI,Chandrugonda,Ravikampadu,1026,80.6106,17.3986,15.2,pre monsoon 2019,8.56,2600,1664,60,421.54214,380,0.56,287.885,36,199.1157682,16,32,189.618,859.6792763,2.952633812,C4S1,-7.562742726,P.S.
15,BHADRADRI,Dummugudem,Bandirevu,3014,80.92,17.92,7,pre monsoon 2019,8.12,935,598.4,0,209.130193,170,0.86,4.429,10,105.6618584,2,16,48.62,239.9177632,2.965918458,C3S1,-0.615751404,P.S.
16,BHADRADRI,Gundala,Kanchanapalli,3016,80.42,17.79,2.15,pre monsoon 2019,8,750,480,0,113.0234268,70,0.28,177.16,16,22.0754257,71,64,19.448,239.9671053,0.61959142,C3S1,-2.538873569,P.S.
17,BHADRADRI,Julurpadu,P. Narsapuram,3019,80.520318,17.438169,23.25,pre monsoon 2019,8.27,4530,2899.2,0,725.6871102,1020,0.61,44.29,41,567.4220089,27,16,238.238,1019.597039,7.726166412,C4S2,-5.878198585,P.S.
18,BHADRADRI,Karakagudem,Karakagudem,1033,80.568147,18.034655,7.15,pre monsoon 2019,8.15,640,409.6,0,222.4119168,60,1.31,0.509335,9,33.96150271,23,48,24.31,219.9588816,0.995607847,C2S1,0.049060705,P.S.
19,BHADRADRI,Laxmidevipalli,Laxmidevipalli,1035,80.619,17.573,11.36,pre monsoon 2019,8.28,960,614.4,0,143.9024112,150,0.56,124.012,19,85.99162036,14,72,24.31,279.9588816,2.234504181,C3S1,-2.721129408,P.S.
20,BHADRADRI,Manuguru,Pagideru,3022,80.73,17.97,8.58,pre monsoon 2019,8.27,445,284.8,0,116.3341411,70,0.44,1.3287,4,32.29871285,27,32,9.724,119.9835526,1.282025079,C2S1,-0.072988231,P.S.
21,BHADRADRI,Palwancha,REGELLA,3029,80.58,17.95,6.44,pre monsoon 2019,8.87,452,289.28,60,68.50588309,50,0.43,19.0447,9,49.22271339,1,24,14.586,119.9753289,1.953852342,C2S1,0.170611083,P.S.
22,BHADRADRI,Tekulapalli,Bethampudi,3034,80.45,17.56,7.68,pre monsoon 2019,7.95,1935,1238.4,0,291.2877548,280,0.41,287.885,38,80.46021362,2,32,175.032,799.7039474,1.237054192,C3S1,-10.16832385,P.S.
23,BHADRADRI,Tekulapalli,Mutyalampadu,3035,80.5,17.54,7.74,pre monsoon 2019,8.9,1200,768,60,361.970651,80,1,55.3625,14,190.1041273,10,16,34.034,179.9424342,6.161648422,C3S2,4.840564336,U.S.
24,BHADRADRI,Yellandu,Komararam,3036,80.32,17.71,7.6,pre monsoon 2019,8.66,436,279.04,60,88.57159133,20,2.8,38.0894,8,12.03112624,11,32,24.31,179.9588816,0.389934629,C2S1,-0.627745805,P.S.
25,BHUPALPALLY,Ghanpur Mulug,Chelpur(D),3041,79.853503,18.368545,6.65,pre monsoon 2019,8.15,283,181.12,0,30,30,0.24,23.75554545,45,36,2,24,5,60,2.020686963,C2S1,-0.6,P.S.
