sno,district,mandal,village,temp_id,long_gis,lat_gis,RL_GIS,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,1001,78.52,19.67,253,premonsoon 2021,7.41,851,545,0,220,110,0.26,32.21,31,71,2,40,43.76,280,1.85,C3S1,-1.2,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,1002,78.35,19.46,435,premonsoon 2021,7.69,694,444,0,190,90,0.2,3.02,28,51,2,32,38.9,240,1.43,C2S1,-1,P.S.
3,ADILABAD,Bela,Chandpally,1003,78.85,19.68,247,premonsoon 2021,7.91,919,588,0,210,110,0.4,80.33,33,77,2,32,53.48,300,1.93,C3S1,-1.8,P.S.
4,ADILABAD,Bheempur,Arli,1004,78.38,19.83,224,premonsoon 2021,7.63,736,471,0,230,60,0.82,40.06,26,54,2,32,43.76,260,1.46,C2S1,-0.6,P.S.
5,ADILABAD,Bheempur,Bheempur,1005,78.42,19.77,245,premonsoon 2021,7.7,1014,649,0,220,90,0.92,193.27,31,94,2,48,53.48,340,2.22,C3S1,-2.4,P.S.
6,ADILABAD,Boath,Boath,1006,78.32,19.34,432,premonsoon 2021,7.54,1026,657,0,270,100,0.3,78.31,41,89,4,48,48.62,320,2.16,C3S1,-1,P.S.
7,ADILABAD,Gudihatnoor,Gudihatnoor,1007,78.51,19.53,434,premonsoon 2021,7.6,700,448,0,210,60,0.35,43.69,26,55,2,32,38.9,240,1.54,C2S1,-0.6,P.S.
8,ADILABAD,Jainath,Bhoraj,1008,78.55,19.74,231,premonsoon 2021,7.44,773,495,0,250,90,0.39,1.41,31,69,2,32,43.76,260,1.86,C3S1,-0.2,P.S.
9,ADILABAD,Jainath,Jainath,1009,78.64,19.73,219,premonsoon 2021,7.71,532,340,0,200,40,0.29,19.93,12,48,1,24,29.17,180,1.56,C2S1,0.4,P.S.
10,ADILABAD,Narnoor,Narnoor,1010,78.85,19.5,472,premonsoon 2021,7.84,560,358,0,210,40,0.27,8.66,17,43,1,16,38.9,200,1.32,C2S1,0.2,P.S.
11,ADILABAD,Neradigonda,Neradigonda,1011,78.41,19.29,425,premonsoon 2021,7.57,1200,768,0,250,140,0.31,157.63,37,104,2,64,58.34,400,2.26,C3S1,-3,P.S.
12,ADILABAD,Talamadugu,Devapur,1012,78.46,19.61,284,premonsoon 2021,7.49,1686,1079,0,340,210,0.17,183.6,62,126,3,88,87.52,580,2.28,C3S1,-4.8,P.S.
13,ADILABAD,Talamadugu,Talamadugu,1013,78.4,19.63,291,premonsoon 2021,7.52,1714,1097,0,330,220,0.38,186.62,63,131,3,88,92.38,600,2.33,C3S1,-5.4,P.S.
14,ADILABAD,Tamsi,Tamsi,1014,78.43,19.68,272,premonsoon 2021,7.77,892,571,0,160,90,1.14,143.14,47,71,2,40,48.62,300,1.78,C3S1,-2.8,P.S.
15,ADILABAD,Utnoor,Utnoor,1015,78.77,19.38,382,premonsoon 2021,7.56,481,308,0,160,40,1.44,2.82,20,38,1,8,34.03,160,1.31,C2S1,0,P.S.
16,BHADRADRI,Allapalli,Allapalli,1020,80.48,17.83,113,premonsoon 2021,7.62,763,488,0,280,90,1.3,18,13,71,5,32,49,280,1.85,C3S1,0,P.S.
17,BHADRADRI,Allapalli,Markodu,3001,80.51,17.91,,premonsoon 2021,7.98,968,620,0,380,70,0.5,31,14,90,9,80,29,320,2.19,C3S1,1.2,P.S.
18,BHADRADRI,Annapureddypalli,Annapureddypalli,1021,80.83,17.35,225,premonsoon 2021,6.89,330,211,0,90,30,0.1,45,3,21,38,24,5,80,1.02,C2S1,0.2,P.S.
19,BHADRADRI,Ashwapuram,Ammagaripalli,3002,80.85,17.87,,premonsoon 2021,7.7,1623,1039,0,180,400,0.5,26,16,110,5,88,78,540,2.06,C3S1,-7.2,P.S.
20,BHADRADRI,Ashwapuram,Aswapuram,1022,80.81,17.84,15,premonsoon 2021,7.86,1139,729,0,220,230,0.5,1,26,60,3,80,63,460,1.22,C3S1,-4.8,P.S.
21,BHADRADRI,Ashwapuram,Aswapuram,3003,80.81,17.87,,premonsoon 2021,8.29,1820,1165,0,660,160,3.5,22,22,302,0,64,29,280,7.85,C3S1,7.6,U.S.
22,BHADRADRI,Ashwapuram,ASWARAOPET (D),3004,81.11,17.24,,premonsoon 2021,7.25,119,76,0,30,25,0,3,4,13,1,12,1,36,0.94,C1S1,-0.12,P.S.
23,BHADRADRI,Aswaraopet (S),Aswaraopet (S),1023,81.11,17.24,192,premonsoon 2021,7.42,122,78,0,20,10,0,44,3,17,1,12,1,35,1.25,C1S1,-0.3,P.S.
24,BHADRADRI,Aswaraopeta,Duradapadu,3005,81.09,17.43,,premonsoon 2021,7.43,1455,931,0,350,150,0.5,128,32,105,10,80,63,460,2.13,C3S1,-2.2,P.S.
25,BHADRADRI,Aswaraopeta,Gummadivalli,3006,81.18,17.42,,premonsoon 2021,8.28,963,616,0,410,100,3.4,24,12,155,0,40,39,260,4.18,C3S1,3,U.S.
26,BHADRADRI,Aswaraopeta,NANDIPADU,3007,81.13,17.46,,premonsoon 2021,6.94,1167,747,0,210,160,0.7,141,31,51,15,72,68,460,1.03,C3S1,-5,P.S.
27,BHADRADRI,Aswaraopeta,Vinayakapuram,3008,81.12,17.35,,premonsoon 2021,7.29,489,313,0,170,40,0.2,34,7,7,70,48,10,160,0.24,C2S1,0.2,P.S.
28,BHADRADRI,Bhadrachalam,Bhadrachalam,1024,80.9,17.67,5,premonsoon 2021,7.45,1105,707,0,440,70,1,26,10,105,2,32,68,360,2.41,C3S1,1.6,MR
29,BHADRADRI,Burgampad,Krishnasagar,3009,80.81,17.71,,premonsoon 2021,7.5,548,351,0,250,30,0.7,7,5,47,3,32,29,200,1.43,C2S1,1,P.S.
30,BHADRADRI,Burgampad,M.Banjara,1025,80.79,17.64,7,premonsoon 2021,7.86,1201,769,0,460,70,1.2,22,18,105,4,40,68,380,2.34,C3S1,1.6,MR
31,BHADRADRI,Chandrugonda,Cherla,1027,80.83,18.07,64,premonsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BHADRADRI,Chandrugonda,Maddukuru,3010,80.68,17.36,,premonsoon 2021,7.36,279,179,0,70,30,0.4,26,7,9,3,32,10,120,0.35,C2S1,-1,P.S.
33,BHADRADRI,Chandrugonda,Ravikampadu,1026,80.61,17.4,57,premonsoon 2021,8.12,3031,1940,0,680,480,0.5,54,18,227,12,40,209,960,3.19,C4S1,-5.59,P.S.
34,BHADRADRI,Cherla,Chinmedisileru,3011,80.85,18.06,,premonsoon 2021,8.56,2602,1665,40,540,460,1,40,26,401,2,48,97,520,7.65,C4S1,1.2,P.S.
35,BHADRADRI,Chunchupalli,Chunchupalli,1028,80.61,17.53,24,premonsoon 2021,7.78,1806,1156,0,510,270,1,14,24,260,1,32,73,380,5.8,C3S1,2.6,U.S.
