sno,district,mandal,village,lat_gis,long_gis,RL_GIS,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,78.52,19.67,253,Post-monsoon 2021,7.7,982,628.48,0,210,70,0.31,154.8136818,37.25,30,3,88,48.62,419.9177632,0.636518888,C3S1,-4.198355263,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,78.35,19.46,435,Post-monsoon 2021,7.54,594,380.16,0,130,70,0.14,0.201318182,16.25,46,5,32,14.586,139.9753289,1.690457464,C2S1,-0.199506579,P.S.
3,ADILABAD,Bela,Chandpally,78.85,19.68,247,Post-monsoon 2021,7.32,954,610.56,0,150,50,0.43,72.87718182,17.5,71,5,32,14.586,139.9753289,2.609184346,C3S1,0.200493421,P.S.
4,ADILABAD,Bheempur,Arli,78.38,19.83,224,Post-monsoon 2021,7.8,1526,976.64,0,240,200,1.19,204.5392727,19.75,198,2,80,19.448,279.9671053,5.144981894,C3S1,-0.799342105,P.S.
5,ADILABAD,Bheempur,Bheempur,78.42,19.77,245,Post-monsoon 2021,7.21,922,590.08,0,260,60,0.64,92.40504545,16.75,94,2,64,19.448,239.9671053,2.638299902,C3S1,0.400657895,P.S.
6,ADILABAD,Boath,Boath,78.32,19.34,432,Post-monsoon 2021,7.38,1156,739.84,0,220,150,0.31,109.1144545,32,78,2,88,43.758,399.9259868,1.695809071,C3S1,-3.598519737,P.S.
7,ADILABAD,Gudihatnoor,Gudihatnoor,78.51,19.53,434,Post-monsoon 2021,7.49,635,406.4,0,180,40,0.36,53.55063636,17,38,1,64,14.586,219.9753289,1.113957887,C2S1,-0.799506579,P.S.
8,ADILABAD,Jainath,Bhoraj,78.55,19.74,231,Post-monsoon 2021,7.52,558,357.12,0,200,30,0.49,19.32654545,10,57,5,24,19.448,139.9671053,2.094758827,C2S1,1.200657895,P.S.
9,ADILABAD,Jainath,Jainath,78.64,19.73,219,Post-monsoon 2021,7.59,375,240,0,130,20,0.36,21.94368182,10.5,40,1,24,9.724,99.98355263,1.739273473,C2S1,0.600328947,P.S.
10,ADILABAD,Narnoor,Narnoor,78.85,19.50,472,Post-monsoon 2021,7.28,1478,945.92,0,180,170,0.22,227.4895455,54.75,143,42,64,34.034,299.9424342,3.589956991,C3S1,-2.398848684,P.S.
11,ADILABAD,Neradigonda,Neradigonda,78.41,19.29,425,Post-monsoon 2021,7.62,765,489.6,0,190,110,0.31,21.74236364,20.75,84,6,24,34.034,199.9424342,2.582848676,C3S1,-0.198848684,P.S.
12,ADILABAD,Talamadugu,Devapur,78.46,19.61,284,Post-monsoon 2021,7.66,1140,729.6,0,230,130,0.14,82.74177273,24.75,70,2,96,34.034,379.9424342,1.561389676,C3S1,-2.998848684,P.S.
13,ADILABAD,Talamadugu,Talamadugu,78.40,19.63,291,Post-monsoon 2021,7.6,978,625.92,0,250,40,0.52,107.1012727,50,70,1,88,19.448,299.9671053,1.757249336,C3S1,-0.999342105,P.S.
14,ADILABAD,Tamsi,Tamsi,78.43,19.68,272,Post-monsoon 2021,7.32,1020,652.8,0,190,100,0.87,158.4374091,52.25,52,2,88,43.758,399.9259868,1.130539381,C3S1,-4.198519737,P.S.
15,ADILABAD,Utnoor,Utnoor,78.77,19.38,382,Post-monsoon 2021,7.42,515,329.6,0,160,40,1.37,13.48831818,7.5,36,1,24,24.31,159.9588816,1.23757203,C2S1,0.000822368,P.S.
1,BHADRADRI,Allapalli,Allapalli,80.48,17.83,113,Post-monsoon 2021,7.75,832,532,0,320,60,1.01,18,13,71,4,24,53,280,1.85,C3S1,0.802,P.S.
2,BHADRADRI,Allapalli,Markodu,80.51,17.91,,Post-monsoon 2021,7.40,1045,669,0,350,100,0.87,42,17,114,2,24,58,300,2.86,C3S1,1.00,P.S.
3,BHADRADRI,Annapureddypalli,Annapureddypalli,80.83,17.35,225,Post-monsoon 2021,7.80,346,221,0,120,30,0.16,3,9,23,3,16,19,120,0.91,C2S1,0.01,P.S.
4,BHADRADRI,Ashwapuram,Ammagaripalli,80.85,17.87,,Post-monsoon 2021,7.30,1588,1016,0,190,410,0.30,1,20,118,4,80,83,540,2.20,C3S1,-7.00,P.S.
5,BHADRADRI,Ashwapuram,Aswapuram,80.81,17.84,15,Post-monsoon 2021,7.18,1649,1055,0,150,300,0.17,112,205,148,2,48,102,540,2.77,C3S1,-7.797,P.S.
6,BHADRADRI,Ashwapuram,Aswapuram,80.81,17.87,,Post-monsoon 2021,8.29,1908,1221,0,650,170,3.61,64,27,412,2,32,5,100,17.91,C3S3,11.00,U.S.
