sno,district,mandal,village,lat_gis,long_gis,RL_GIS,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,78.52,19.67,253,Post-monsoon 2021,8.04,1065,682,0,230,150,0.72,56.4,69,85,3,64,53,380,1.90,C3S1,-3.00,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,78.35,19.46,435,Post-monsoon 2021,8.21,122,78,0,40,30,0.07,0.4,9,14,2,8,10,60,0.79,C1S1,-0.40,P.S.
3,ADILABAD,Bela,Chandpally,78.85,19.68,247,Post-monsoon 2021,7.99,945,605,0,340,50,0.57,83.5,13,118,3,40,34,240,3.31,C3S1,2.00,MR
4,ADILABAD,Bheempur,Arli,78.38,19.83,224,Post-monsoon 2021,8.01,1028,658,0,290,100,1.09,94.8,15,104,9,40,49,300,2.61,C3S1,-0.20,P.S.
5,ADILABAD,Bheempur,Bheempur,78.42,19.77,245,Post-monsoon 2021,8.11,1110,710,0,300,90,0.57,148.6,13,84,2,72,49,380,1.87,C3S1,-1.60,P.S.
6,ADILABAD,Boath,Boath,78.32,19.34,432,Post-monsoon 2021,7.84,1389,889,0,330,170,0.39,122.8,27,125,8,72,58,420,2.65,C3S1,-1.80,P.S.
7,ADILABAD,Gudihatnoor,Gudihatnoor,78.51,19.53,434,Post-monsoon 2021,8.14,620,397,0,200,50,0.42,43.1,15,40,1,32,39,240,1.12,C2S1,-0.80,P.S.
8,ADILABAD,Jainath,Bhoraj,78.55,19.74,231,Post-monsoon 2021,8.02,582,372,0,180,70,0.55,0.2,18,44,3,32,29,200,1.35,C2S1,-0.40,P.S.
9,ADILABAD,Jainath,Jainath,78.64,19.73,219,Post-monsoon 2021,7.74,242,155,0,80,30,0.19,3.6,10,15,3,16,15,100,0.65,C1S1,-0.40,P.S.
10,ADILABAD,Narnoor,Narnoor,78.85,19.50,472,Post-monsoon 2021,7.89,504,323,0,180,40,0.27,15.1,12,36,5,24,29,180,1.17,C2S1,0.00,P.S.
11,ADILABAD,Neradigonda,Neradigonda,78.41,19.29,425,Post-monsoon 2021,7.85,974,623,0,250,100,0.42,60.2,49,71,4,72,39,340,1.67,C3S1,-1.80,P.S.
12,ADILABAD,Talamadugu,Devapur,78.46,19.61,284,Post-monsoon 2021,7.96,1158,741,0,260,100,0.11,200.5,25,124,7,56,44,320,3.01,C3S1,-1.20,P.S.
13,ADILABAD,Talamadugu,Talamadugu,78.40,19.63,291,Post-monsoon 2021,7.84,1747,1118,0,260,280,0.43,217.4,40,136,4,96,83,580,2.46,C3S1,-6.40,P.S.
14,ADILABAD,Tamsi,Tamsi,78.43,19.68,272,Post-monsoon 2021,7.96,898,575,0,220,110,1.1,72.5,17,42,4,64,49,360,0.96,C3S1,-2.80,P.S.
15,ADILABAD,Utnoor,Utnoor,78.77,19.38,382,Post-monsoon 2021,8.02,432,276,0,150,50,1.41,0.4,13,55,1,16,19,120,2.18,C2S1,0.60,P.S.
1,BHADRADRI,Allapalli,Allapalli,80.48,17.83,113,Post-monsoon 2021,7.67,987,632,0,170,230,1.21,29,27,38,2,80,63,460,0.77,C3S1,-5.80,P.S.
2,BHADRADRI,Allapalli,Markodu,80.51,17.91,,Post-monsoon 2021,8.18,652,417,0,260,10,0.41,8,43,20,15,56,29,260,0.54,C2S1,0.00,P.S.
3,BHADRADRI,Annapureddypalli,Annapureddypalli,80.83,17.35,225,Post-monsoon 2021,7.24,321,205,20,30,30,0.27,31,56,20,9,40,5,120,0.79,C2S1,-1.40,P.S.
4,BHADRADRI,Ashwapuram,Ammagaripalli,80.85,17.87,,Post-monsoon 2021,7.74,2109,1350,0,430,270,1.05,142,181,199,5,144,73,660,3.37,C3S1,-4.60,P.S.
5,BHADRADRI,Ashwapuram,Aswapuram,80.81,17.84,15,Post-monsoon 2021,7.77,1111,711,0,250,180,0.64,4,88,108,4,104,24,360,2.47,C3S1,-2.20,P.S.
6,BHADRADRI,Ashwapuram,Aswapuram,80.81,17.87,,Post-monsoon 2021,7.58,2302,1473,0,490,280,1.07,117,179,228,2.7,88,112,680,3.79,C4S1,-3.80,P.S.
7,BHADRADRI,Ashwapuram,ASWARAOPET (D),81.11,17.24,,Post-monsoon 2021,7.03,375,240,0,50,80,0.03,14,29,30,2,32,15,140,1.10,C2S1,-1.80,P.S.
8,BHADRADRI,Aswaraopet (S),Aswaraopet (S),81.11,17.24,192,Post-monsoon 2021,7.15,592,379,0,170,60,0.13,16,38,31,3,72,15,240,0.87,C2S1,-1.40,P.S.
9,BHADRADRI,Aswaraopeta,Duradapadu,81.09,17.43,,Post-monsoon 2021,7.73,1988,1272,0,430,180,0.76,252,131,95,12,120,122,800,1.45,C3S1,-7.40,P.S.
10,BHADRADRI,Aswaraopeta,Gummadivalli,81.18,17.42,,Post-monsoon 2021,8.11,1066,682,0,410,80,2.19,4,69,153,3,40,39,260,4.12,C3S1,3.00,U.S.
11,BHADRADRI,Aswaraopeta,NANDIPADU,81.13,17.46,,Post-monsoon 2021,7.88,1493,956,0,390,100,1.10,144,128,54,15,120,83,640,0.94,C3S1,-5.00,P.S.
12,BHADRADRI,Aswaraopeta,Vinayakapuram,81.12,17.35,,Post-monsoon 2021,7.47,617,395,0,180,50,0.34,38,46,9,104,40,19,180,0.30,C2S1,0.00,P.S.
13,BHADRADRI,Bhadrachalam,Bhadrachalam,80.90,17.67,5,Post-monsoon 2021,7.85,1281,820,0,420,110,0.81,41,60,97,2,112,44,460,1.97,C3S1,-0.80,P.S.
14,BHADRADRI,Burgampad,Krishnasagar,80.81,17.71,,Post-monsoon 2021,8.09,784,502,0,320,20,0.58,0,48,65,4,56,29,260,1.75,C3S1,1.20,P.S.
15,BHADRADRI,Burgampad,M.Banjara,80.79,17.64,7,Post-monsoon 2021,8.10,1691,1082,0,520,140,0.69,46,125,205,6,48,73,420,4.35,C3S1,2.00,MR
16,BHADRADRI,Chandrugonda,Cherla,80.83,18.07,64,Post-monsoon 2021,8.24,2087,1336,0,440,390,0.45,22,74,301,6,72,53,400,6.54,C3S1,0.80,P.S.
17,BHADRADRI,Chandrugonda,Maddukuru,80.68,17.36,,Post-monsoon 2021,8.23,300,192,0,70,10,0.21,36,50,9,3,40,10,140,0.33,C2S1,-1.40,P.S.
18,BHADRADRI,Chandrugonda,Ravikampadu,80.61,17.40,57,Post-monsoon 2021,8.10,2593,1660,0,680,240,0.71,209,105,270,9,64,141,740,4.31,C4S1,-1.20,P.S.
19,BHADRADRI,Cherla,Chinmedisileru,80.85,18.06,,Post-monsoon 2021,5.89,175,112,0,20,20,0.68,1,34,2,2,16,10,80,0.09,C1S1,-1.20,P.S.
20,BHADRADRI,Chunchupalli,Chunchupalli,80.61,17.53,24,Post-monsoon 2021,7.74,2290,1466,0,670,200,1.10,46,123,318,5,56,68,420,6.75,C4S1,5.00,U.S.
21,BHADRADRI,Dammapeta,Malkaram,81.07,17.31,169,Post-monsoon 2021,6.31,135,86,0,15,15,0.01,13,31,9,0,16,5,60,0.52,C1S1,-0.90,P.S.
22,BHADRADRI,Dammapeta,Mandalapalli,81.01,17.24,,Post-monsoon 2021,6.69,295,189,0,40,30,0.09,28,33,13,2,32,7,110,0.54,C2S1,-1.40,P.S.
23,BHADRADRI,Dammapeta,Patwarigudem,80.96,17.35,,Post-monsoon 2021,7.88,585,374,0,120,50,0.13,49,62,25,29,64,10,200,0.77,C2S1,-1.60,P.S.
24,BHADRADRI,Dummugudem,Bandirevu,80.92,17.92,,Post-monsoon 2021,7.62,1222,782,0,310,170,0.79,9,46,79,0.9,64,68,440,1.63,C3S1,-2.60,P.S.
25,BHADRADRI,Dummugudem,Dummugudem,80.89,17.85,7,Post-monsoon 2021,8.44,874,559,20,370,30,1.24,16,18,58,3,40,58,340,1.37,C3S1,1.00,P.S.
26,BHADRADRI,Gundala,Gundala,80.33,17.91,,Post-monsoon 2021,8.34,572,366,40,210,30,0.84,8,16,16,1,80,19,280,0.41,C2S1,-0.60,P.S.
27,BHADRADRI,Gundala,Kanchanapalli,80.42,17.79,,Post-monsoon 2021,8.11,188,120,0,30,15,0.13,6,28,7,15,12,5,50,0.46,C1S1,-0.40,P.S.
28,BHADRADRI,Gundala,Mamakannu,80.41,17.87,114,Post-monsoon 2021,8.33,602,385,20,210,30,0.40,2,51,41,18,56,19,220,1.20,C2S1,0.20,P.S.
29,BHADRADRI,Gundala,Sainapalli,80.35,17.96,,Post-monsoon 2021,8.34,874,559,20,210,90,0.38,52,51,31,34,72,39,340,0.73,C3S1,-2.20,P.S.
30,BHADRADRI,Gundala,Settupalli,80.35,17.81,,Post-monsoon 2021,8.31,223,143,20,30,30,0.23,1,26,8,1,16,15,100,0.35,C1S1,-1.00,P.S.
